Y,X,City_Name,Date,Name,Confirmed,Deaths,Recovered,Active,Tested
25.9269000000359,49.6433000000205,Bqeeq,2020-04-30,بقيق,22,0,2,20,0
18.5463703749133,42.0490977136489,Muhayil Aseer,2020-04-10,محايل عسير,3,0,0,3,0
25.3569924204555,49.5839219652047,Hofuf,2020-04-10,الهفوف,58,2,7,49,0
21.4273800000385,39.8148393638521,Mecca,2020-03-17,مكة المكرمة,53,0,0,53,0
28.4251523841036,48.4965519796126,Khafji,2020-03-31,الخفجي,2,0,0,2,0
16.8976017066587,42.5468540338148,Jazan,2020-04-18,جازان,22,1,13,8,0
25.3773876968636,49.7232077379792,Al Jafr,2020-04-21,الجفر,3,0,0,3,0
26.9839435889181,49.6548882096935,Jubail,2020-03-28,الجبيل,1,0,0,1,0
22.7246200004093,42.1741799997856,Dhalm,2020-04-27,ظلم,1,0,0,1,0
16.8976017066587,42.5468540338148,Jazan,2020-04-02,جازان,9,0,7,2,0
26.3416692946825,43.9682662615606,Buraydah,2020-03-27,بريدة,4,0,0,4,0
24.5149700000182,44.4206499999441,Al Duwadimi,2020-04-08,الدوادمي,1,0,0,1,0
20.1475200001593,40.2679500000988,Al Lith,2020-04-30,الليث,2,0,0,2,0
20.5992632409071,41.0456816738879,Bani Malek,2020-04-30,بني مالك,1,0,0,1,0
25.3569924204555,49.5839219652047,Hofuf,2020-04-02,الهفوف,23,0,2,21,0
19.5630000379716,41.964730320005,Sabt Al Alayah,2020-05-02,سبت العلايه,5,0,5,0,0
26.705493847974,50.061401784967,Ras Tanura,2020-04-14,راس تنورة,10,0,0,10,0
26.705493847974,50.061401784967,Ras Tanura,2020-04-02,راس تنورة,3,0,0,3,0
26.3416692946825,43.9682662615606,Buraydah,2020-05-05,بريدة,204,2,51,151,0
28.3945663283474,36.577960548361,Tabuk,2020-04-08,تبوك,62,0,4,58,0
19.5389200000531,41.0499099999128,Almuzaylif,2020-04-26,المظيلف,3,0,0,3,0
18.2199959996445,42.5079993636292,Abha,2020-03-21,أبها,1,0,0,1,0
21.5430030003329,39.1730043636123,Jeddah,2020-04-20,جدة,1935,18,230,1687,0
26.2428965134594,36.4667598411732,Al Wajh,2020-04-11,الوجه,1,0,0,1,0
26.2855327481369,50.2100794799695,Khobar,2020-03-31,الخبر,28,0,1,27,0
25.8700900002396,43.4998300000542,Ar Rass,2020-05-04,الرس,6,0,4,2,0
26.848609999734,40.3278199999749,Al Shamly,2020-05-01,الشملي,1,0,0,1,0
20.742170000258,40.8445700002675,Maisan,2020-04-24,ميسان,2,0,0,2,0
19.7806499998668,41.4375199996758,Al Makhwa,2020-04-29,المخواة,12,0,6,6,0
24.7356429287764,46.7464850379502,Riyadh,2020-04-20,الرياض,2358,6,590,1762,0
26.2428965134594,36.4667598411732,Al Wajh,2020-04-26,الوجه,5,0,0,5,0
16.5274900001077,42.9665699996987,Al Tuwal,2020-04-19,الطوال,2,0,0,2,0
17.539699609762,44.2409312996748,Najran,2020-04-16,نجران,26,0,20,6,0
28.3945663283474,36.577960548361,Tabuk,2020-04-01,تبوك,8,0,0,8,0
16.8976017066587,42.5468540338148,Jazan,2020-04-13,جازان,17,0,13,4,0
21.5430030003329,39.1730043636123,Jeddah,2020-03-11,جدة,1,0,0,1,0
28.3945663283474,36.577960548361,Tabuk,2020-04-20,تبوك,138,1,9,128,0
19.4466148139841,41.8322742838254,Thurayban,2020-04-23,ثريبان,6,0,0,6,0
25.0596700000311,38.1163299999247,Al Ais,2020-04-27,العيص,1,0,0,1,0
23.3184612127047,39.7749482174917,Wadi Al Fara’a,2020-04-22,وادي الفرع,1,0,0,1,0
18.1699700001096,42.8362900002426,Ahad Rafidah,2020-04-15,أحد رفيدة,4,0,0,4,0
26.4085806676508,50.1169950665738,Dammam,2020-03-29,الدمام,95,0,5,90,0
20.0171268103963,42.6130504855546,Bisha,2020-03-24,بيشة,14,0,0,14,0
26.2855327481369,50.2100794799695,Khobar,2020-05-04,الخبر,556,2,54,500,0
24.7550311305376,46.5650673512892,Diriyah,2020-05-01,الدرعية,49,0,0,49,0
30.983301000027,41.0333043643064,Arar,2020-03-31,عرعر,2,0,0,2,0
25.3773876968636,49.7232077379792,Al Jafr,2020-05-01,الجفر,11,0,3,8,0
26.3112826643086,50.1173385302361,Dhahran,2020-04-01,الظهران,22,0,1,21,0
18.1699700001096,42.8362900002426,Ahad Rafidah,2020-04-24,أحد رفيدة,4,0,2,2,0
30.983301000027,41.0333043643064,Arar,2020-04-16,عرعر,16,0,2,14,0
24.4772947388438,46.3014446155861,Muzahmiya,2020-05-04,المزاحمية,20,0,0,20,0
27.3518234935053,35.6974168600861,Duba,2020-04-26,ضبا ,4,0,0,4,0
25.9959754632425,43.7331582421698,Al Badayea,2020-04-26,البدائع,2,1,1,0,0
23.5008100001958,40.885719999853,Mahd Al Dhahab,2020-04-23,مهد الذهب,3,0,0,3,0
29.7996500002999,39.8678499997969,Domat Al Jandal,2020-04-27,دومة الجندل,1,0,0,1,0
17.539699609762,44.2409312996748,Najran,2020-04-04,نجران,16,0,15,1,0
26.4085806676508,50.1169950665738,Dammam,2020-04-01,الدمام,132,0,19,113,0
24.7356429287764,46.7464850379502,Riyadh,2020-03-22,الرياض,200,0,8,192,0
26.5668611306951,50.0089672323257,Qatif,2020-03-31,القطيف,106,0,10,96,0
23.5008100001958,40.885719999853,Mahd Al Dhahab,2020-05-02,مهد الذهب,3,0,0,3,0
27.4730117103643,48.477468158937,Nairyah,2020-04-17,النعيرية,1,0,1,0,0
16.5838299999653,42.9158100001718,Samtah,2020-04-16,صامطة,8,0,0,8,0
19.1353421734032,41.0818537788023,Al Qunfudhah,2020-05-03,القنفذة,28,0,11,17,0
17.0386999996394,43.0849400003706,Aridah,2020-04-10,العارضة,1,0,0,1,0
30.983301000027,41.0333043643064,Arar,2020-04-17,عرعر,16,0,2,14,0
19.5389200000531,41.0499099999128,Almuzaylif,2020-05-04,المظيلف,3,0,2,1,0
20.0171268103963,42.6130504855546,Bisha,2020-04-22,بيشة,38,0,13,25,0
26.1356269929518,43.6689215577488,Al Bukayriyah,2020-04-21,البكيرية,1,0,0,1,0
27.5264645231855,41.7015071693133,Ha'il,2020-05-05,حائل,33,0,9,24,0
19.5389200000531,41.0499099999128,Almuzaylif,2020-05-02,المظيلف,3,0,2,1,0
26.4883192377696,50.0467428390055,Saihat,2020-03-30,سيهات,2,0,0,2,0
29.6328100003094,43.501270000353,Rafha,2020-05-01,رفحاء,3,0,0,3,0
17.4995699996521,47.1005200000144,Sharorah,2020-04-29,شرورة,7,0,5,2,0
26.848609999734,40.3278199999749,Al Shamly,2020-05-04,الشملي,1,0,0,1,0
27.3518234935053,35.6974168600861,Duba,2020-04-28,ضبا ,4,0,0,4,0
17.380340000102,42.5453799999432,Baish,2020-04-28,بيش,279,0,1,278,0
26.1356269929518,43.6689215577488,Al Bukayriyah,2020-04-29,البكيرية,12,0,1,11,0
23.4927299996761,46.8812599995772,Howtat Bani Tamim,2020-04-28,حوطة بني تميم,1,0,0,1,0
26.9839435889181,49.6548882096935,Jubail,2020-04-30,الجبيل,624,2,10,612,0
26.0936622699662,43.9892399219984,Unayzah,2020-04-12,عنيزة,2,0,0,2,0
24.7356429287764,46.7464850379502,Riyadh,2020-03-10,الرياض,1,0,0,1,0
16.8976017066587,42.5468540338148,Jazan,2020-04-29,جازان,68,1,24,43,0
25.8568104445922,44.2263915637448,Al Mithnab,2020-05-05,المذنب,20,0,1,19,0
21.4502800002385,39.5544399998824,Hadda,2020-04-23,حدة,4,0,0,4,0
24.7356429287764,46.7464850379502,Riyadh,2020-03-15,الرياض,18,0,0,18,0
26.4085806676508,50.1169950665738,Dammam,2020-04-28,الدمام,1143,3,148,992,0
20.1475200001593,40.2679500000988,Al Lith,2020-05-03,الليث,2,0,0,2,0
19.7806499998668,41.4375199996758,Al Makhwa,2020-05-05,المخواة,18,0,6,12,0
26.3416692946825,43.9682662615606,Buraydah,2020-03-31,بريدة,5,0,0,5,0
26.3416692946825,43.9682662615606,Buraydah,2020-04-25,بريدة,98,1,22,75,0
28.3945663283474,36.577960548361,Tabuk,2020-04-07,تبوك,36,0,4,32,0
21.5430030003329,39.1730043636123,Jeddah,2020-03-12,جدة,1,0,0,1,0
26.4085806676508,50.1169950665738,Dammam,2020-03-24,الدمام,49,0,3,46,0
26.9839435889181,49.6548882096935,Jubail,2020-03-29,الجبيل,1,0,0,1,0
26.4085806676508,50.1169950665738,Dammam,2020-04-23,الدمام,914,1,127,786,0
19.1353421734032,41.0818537788023,Al Qunfudhah,2020-04-13,القنفذة,4,0,1,3,0
26.2997100003078,44.8149499997663,Az Zulfi,2020-05-05,الزلفي,87,0,0,87,0
22.2594000003419,39.7942900001809,Al Kamil,2020-05-05,الكامل,1,0,0,1,0
20.4776799999905,41.0592200002785,Alqarei,2020-04-29,القريع,4,0,0,4,0
21.2688437831374,40.4174375191435,Ta'if,2020-04-22,الطائف,193,0,16,177,0
21.2688437831374,40.4174375191435,Ta'if,2020-04-19,الطائف,120,0,16,104,0
21.2688437831374,40.4174375191435,Ta'if,2020-03-26,الطائف,24,0,0,24,0
18.300015497956,42.7153508412142,Khamis Mushait,2020-04-19,خميس مشيط,46,1,1,44,0
31.3282860346399,37.3491468140207,Qurayyat,2020-04-19,القريات,2,0,0,2,0
26.6028300001419,37.9286600002587,Al Ula,2020-04-12,العلا,1,0,0,1,0
24.5956600003784,46.1409699999307,Dhurma,2020-05-04,ضرما,1,0,0,1,0
26.6028300001419,37.9286600002587,Al Ula,2020-04-20,العلا,1,0,0,1,0
27.3518234935053,35.6974168600861,Duba,2020-04-16,ضبا ,1,0,0,1,0
26.5668611306951,50.0089672323257,Qatif,2020-04-15,القطيف,198,1,71,126,0
22.6284419996502,41.3597001081342,Umm Aldoom,2020-04-30,أم الدوم,1,0,0,1,0
18.8232600002592,43.2298999996035,Al Madda,2020-04-27,المضة,1,0,0,1,0
18.1699700001096,42.8362900002426,Ahad Rafidah,2020-04-03,أحد رفيدة,1,0,0,1,0
17.728279999961,42.2514600002482,Addarb,2020-05-03,الدرب,1,0,0,1,0
22.1118499999353,39.3135900003994,Khulais,2020-04-09,خليص,1,0,0,1,0
19.5389200000531,41.0499099999128,Almuzaylif,2020-04-24,المظيلف,3,0,0,3,0
28.4251523841036,48.4965519796126,Khafji,2020-03-26,الخفجي,1,0,0,1,0
20.0132180261774,41.4700390749447,Al Bahah,2020-04-25,الباحة,27,0,18,9,0
18.2199959996445,42.5079993636292,Abha,2020-03-30,أبها,10,0,0,10,0
18.300015497956,42.7153508412142,Khamis Mushait,2020-04-14,خميس مشيط,43,1,1,41,0
25.3773876968636,49.7232077379792,Al Jafr,2020-04-15,الجفر,1,0,0,1,0
21.2688437831374,40.4174375191435,Ta'if,2020-04-02,الطائف,29,0,11,18,0
18.1699700001096,42.8362900002426,Ahad Rafidah,2020-04-16,أحد رفيدة,4,0,0,4,0
24.7356429287764,46.7464850379502,Riyadh,2020-03-20,الرياض,130,0,0,130,0
24.8682376146568,40.512039836536,Al Hanakia,2020-04-27,الحناكية,3,0,0,3,0
26.5668611306951,50.0089672323257,Qatif,2020-04-26,القطيف,209,1,182,26,0
28.3945663283474,36.577960548361,Tabuk,2020-04-02,تبوك,8,0,0,8,0
17.539699609762,44.2409312996748,Najran,2020-04-06,نجران,19,0,16,3,0
22.6284419996502,41.3597001081342,Umm Aldoom,2020-04-24,أم الدوم,1,0,0,1,0
31.3282860346399,37.3491468140207,Qurayyat,2020-04-28,القريات,11,0,2,9,0
26.6028300001419,37.9286600002587,Al Ula,2020-04-27,العلا,1,0,0,1,0
21.5430030003329,39.1730043636123,Jeddah,2020-04-09,جدة,531,6,129,396,0
26.3416692946825,43.9682662615606,Buraydah,2020-04-24,بريدة,78,1,13,64,0
26.0614831948487,43.5439326209431,Riyadh Al Khabra,2020-04-19,رياض الخبراء,1,0,0,1,0
23.5008100001958,40.885719999853,Mahd Al Dhahab,2020-04-30,مهد الذهب,3,0,0,3,0
20.4434023847367,40.8778912513222,Adham,2020-04-30,أضم,4,0,0,4,0
19.5630000379716,41.964730320005,Sabt Al Alayah,2020-04-10,سبت العلايه,3,0,0,3,0
19.7806499998668,41.4375199996758,Al Makhwa,2020-04-23,المخواة,9,0,0,9,0
21.5430030003329,39.1730043636123,Jeddah,2020-03-16,جدة,10,0,0,10,0
24.8682376146568,40.512039836536,Al Hanakia,2020-04-22,الحناكية,2,0,0,2,0
20.0132180261774,41.4700390749447,Al Bahah,2020-04-30,الباحة,33,0,27,6,0
29.9716781048945,40.2113726688954,Sakakah,2020-04-25,سكاكا,6,0,1,5,0
22.1118499999353,39.3135900003994,Khulais,2020-04-18,خليص,16,0,0,16,0
27.3518234935053,35.6974168600861,Duba,2020-04-17,ضبا ,1,0,0,1,0
21.5430030003329,39.1730043636123,Jeddah,2020-05-05,جدة,5345,58,1180,4107,0
20.0132180261774,41.4700390749447,Al Bahah,2020-03-26,الباحة,13,0,0,13,0
26.2428965134594,36.4667598411732,Al Wajh,2020-04-27,الوجه,5,0,0,5,0
18.300015497956,42.7153508412142,Khamis Mushait,2020-04-21,خميس مشيط,46,1,15,30,0
18.5463703749133,42.0490977136489,Muhayil Aseer,2020-04-15,محايل عسير,3,0,0,3,0
25.9155140384438,45.3763595557627,Al Majmaah,2020-04-25,المجمعة,2,0,0,2,0
19.1353421734032,41.0818537788023,Al Qunfudhah,2020-04-28,القنفذة,15,0,11,4,0
17.1562900000188,42.6094300000751,Sabya,2020-04-30,صبيا,5,0,3,2,0
25.8284100002954,42.19926999957,Uqlat as Suqur,2020-05-04,عقلة الصقور,1,0,1,0,0
18.2199959996445,42.5079993636292,Abha,2020-04-30,أبها,35,0,40,-5,0
21.4502800002385,39.5544399998824,Hadda,2020-04-29,حدة,4,0,0,4,0
26.3112826643086,50.1173385302361,Dhahran,2020-04-04,الظهران,30,0,1,29,0
18.5463703749133,42.0490977136489,Muhayil Aseer,2020-04-24,محايل عسير,5,0,1,4,0
26.6028300001419,37.9286600002587,Al Ula,2020-04-06,العلا,1,0,0,1,0
20.5992632409071,41.0456816738879,Bani Malek,2020-05-05,بني مالك,1,0,0,1,0
